"BehaviorSpace results (NetLogo 6.2.0)"
"Sugarscape 1 Immediate Growback.nlogo"
"experiment"
"02/21/2021 18:07:35:693 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","visualization","initial-population","[step]","count turtles","mean-of-vision","mean-of-metabolism","mean [metabolism] of turtles","mean [vision] of turtles","(count turtles) / (initial-population)","(count good_vision_turtles) / (initial-population)","(count good_metabolism_turtles) / (initial-population)","(count bad_vision_turtles) / (initial-population)","(count bad_metabolism_turtles) / (initial-population)"
"2","no-visualization","120","100","77","3.5083333333333333","2.4833333333333334","2.142857142857143","3.7142857142857144","0.6416666666666667","0.36666666666666664","0.4166666666666667","0.275","0.225"
"4","no-visualization","160","100","97","3.35","2.5125","1.958762886597938","3.6288659793814433","0.60625","0.325","0.44375","0.28125","0.1625"
"3","no-visualization","140","100","88","3.5285714285714285","2.4571428571428573","2.0795454545454546","3.8636363636363638","0.6285714285714286","0.35714285714285715","0.42857142857142855","0.2714285714285714","0.2"
"5","no-visualization","180","100","120","3.5388888888888888","2.5722222222222224","2.091666666666667","3.7","0.6666666666666666","0.4","0.4444444444444444","0.26666666666666666","0.2222222222222222"
"6","no-visualization","200","100","130","3.45","2.575","2.1076923076923078","3.7153846153846155","0.65","0.355","0.435","0.295","0.215"
"7","no-visualization","220","100","141","3.6227272727272726","2.4863636363636363","2.0709219858156027","3.9148936170212765","0.6409090909090909","0.38636363636363635","0.43636363636363634","0.2545454545454545","0.20454545454545456"
"8","no-visualization","240","100","145","3.5708333333333333","2.5","2.0620689655172413","3.9310344827586206","0.6041666666666666","0.3416666666666667","0.4083333333333333","0.2625","0.19583333333333333"
"9","no-visualization","260","100","153","3.453846153846154","2.6115384615384616","2.0588235294117645","3.7254901960784315","0.5884615384615385","0.3423076923076923","0.4076923076923077","0.24615384615384617","0.18076923076923077"
"11","no-visualization","300","100","180","3.493333333333333","2.61","2.0944444444444446","3.783333333333333","0.6","0.33666666666666667","0.38666666666666666","0.2633333333333333","0.21333333333333335"
"10","no-visualization","280","100","189","3.6357142857142857","2.357142857142857","1.9206349206349207","3.941798941798942","0.675","0.42142857142857143","0.5178571428571429","0.25357142857142856","0.15714285714285714"
"12","no-visualization","320","100","210","3.7875","2.525","2.0238095238095237","3.947619047619048","0.65625","0.396875","0.4625","0.259375","0.19375"
