"BehaviorSpace results (NetLogo 6.2.0)"
"Sugarscape 2 Constant Growback.nlogo"
"experiment"
"02/21/2021 18:10:12:279 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","visualization","initial-population","[step]","count turtles","mean-of-vision","mean-of-metabolism","mean [metabolism] of turtles","mean [vision] of turtles","(count turtles) / (initial-population)","(count good_vision_turtles) / (initial-population)","(count good_metabolism_turtles) / (initial-population)","(count bad_vision_turtles) / (initial-population)","(count bad_metabolism_turtles) / (initial-population)"
"5","no-visualization","100","100","64","3.44","2.67","2.15625","3.953125","0.64","0.43","0.39","0.21","0.25"
"6","no-visualization","100","100","67","3.79","2.5","2.1492537313432836","4.029850746268656","0.67","0.41","0.42","0.26","0.25"
"3","no-visualization","100","100","70","3.57","2.46","2.242857142857143","3.8142857142857145","0.7","0.42","0.42","0.28","0.28"
"2","no-visualization","100","100","67","3.8","2.57","2.1194029850746268","4.059701492537314","0.67","0.42","0.41","0.25","0.26"
"7","no-visualization","100","100","73","3.74","2.51","2.1780821917808217","3.9726027397260273","0.73","0.46","0.41","0.27","0.32"
"4","no-visualization","100","100","71","3.87","2.38","1.9577464788732395","4.140845070422535","0.71","0.45","0.51","0.26","0.2"
"8","no-visualization","100","100","69","3.68","2.45","2.028985507246377","4.101449275362318","0.69","0.44","0.48","0.25","0.21"
"13","no-visualization","100","100","62","3.49","2.54","1.967741935483871","3.903225806451613","0.62","0.37","0.43","0.25","0.19"
"10","no-visualization","100","100","67","3.35","2.59","2.253731343283582","3.8656716417910446","0.67","0.41","0.35","0.26","0.32"
"9","no-visualization","100","100","65","3.48","2.65","2.123076923076923","3.753846153846154","0.65","0.34","0.4","0.31","0.25"
"14","no-visualization","100","100","71","3.6","2.52","2.1971830985915495","3.8309859154929575","0.71","0.41","0.41","0.3","0.3"
"11","no-visualization","100","100","68","3.32","2.46","1.9705882352941178","3.838235294117647","0.68","0.38","0.46","0.3","0.22"
"12","no-visualization","100","100","75","3.65","2.56","2.2133333333333334","3.88","0.75","0.45","0.48","0.3","0.27"
"15","no-visualization","100","100","65","3.49","2.47","2.0307692307692307","3.9076923076923076","0.65","0.4","0.4","0.25","0.25"
"18","no-visualization","100","100","61","3.53","2.63","2.1147540983606556","3.918032786885246","0.61","0.4","0.38","0.21","0.23"
"16","no-visualization","100","100","68","3.56","2.56","2.1911764705882355","3.9558823529411766","0.68","0.39","0.38","0.29","0.3"
"20","no-visualization","100","100","67","3.3","2.42","2.044776119402985","3.656716417910448","0.67","0.36","0.48","0.31","0.19"
"17","no-visualization","100","100","74","3.51","2.26","1.9054054054054055","3.9324324324324325","0.74","0.49","0.56","0.25","0.18"
"19","no-visualization","100","100","70","3.59","2.5","2.257142857142857","3.9","0.7","0.44","0.4","0.26","0.3"
"21","no-visualization","120","100","80","3.7","2.4833333333333334","1.95","4.1125","0.6666666666666666","0.4666666666666667","0.475","0.2","0.19166666666666668"
"22","no-visualization","120","100","81","3.591666666666667","2.45","1.9259259259259258","3.802469135802469","0.675","0.4166666666666667","0.5166666666666667","0.25833333333333336","0.15833333333333333"
"24","no-visualization","120","100","75","3.425","2.591666666666667","1.9866666666666666","3.68","0.625","0.35","0.4166666666666667","0.275","0.20833333333333334"
"26","no-visualization","120","100","76","3.3833333333333333","2.566666666666667","2.039473684210526","3.75","0.6333333333333333","0.375","0.4083333333333333","0.25833333333333336","0.225"
"23","no-visualization","120","100","80","3.925","2.466666666666667","2.05","4.225","0.6666666666666666","0.44166666666666665","0.43333333333333335","0.225","0.23333333333333334"
"25","no-visualization","120","100","77","3.7083333333333335","2.425","1.922077922077922","4.142857142857143","0.6416666666666667","0.4","0.4583333333333333","0.24166666666666667","0.18333333333333332"
"28","no-visualization","120","100","81","3.5416666666666665","2.5833333333333335","2.111111111111111","3.654320987654321","0.675","0.39166666666666666","0.425","0.2833333333333333","0.25"
"27","no-visualization","120","100","77","3.8","2.466666666666667","1.9090909090909092","4.12987012987013","0.6416666666666667","0.425","0.475","0.21666666666666667","0.16666666666666666"
"1","no-visualization","100","100","69","3.67","2.4","1.8985507246376812","4.043478260869565","0.69","0.47","0.52","0.22","0.17"
"29","no-visualization","120","100","82","3.6","2.5083333333333333","1.9878048780487805","3.8292682926829267","0.6833333333333333","0.375","0.45","0.30833333333333335","0.23333333333333334"
"30","no-visualization","120","100","73","3.6333333333333333","2.525","1.9863013698630136","4.219178082191781","0.6083333333333333","0.425","0.44166666666666665","0.18333333333333332","0.16666666666666666"
"33","no-visualization","120","100","70","3.45","2.7083333333333335","2.3","3.857142857142857","0.5833333333333334","0.3333333333333333","0.2916666666666667","0.25","0.2916666666666667"
"32","no-visualization","120","100","79","3.425","2.5166666666666666","2.0759493670886076","3.8227848101265822","0.6583333333333333","0.375","0.425","0.2833333333333333","0.23333333333333334"
"31","no-visualization","120","100","85","3.5166666666666666","2.341666666666667","1.9058823529411764","3.6941176470588237","0.7083333333333334","0.4083333333333333","0.49166666666666664","0.3","0.21666666666666667"
"34","no-visualization","120","100","80","3.7083333333333335","2.7083333333333335","2.3625","3.9","0.6666666666666666","0.4166666666666667","0.35","0.25","0.31666666666666665"
"35","no-visualization","120","100","75","3.3666666666666667","2.408333333333333","1.84","3.7866666666666666","0.625","0.36666666666666664","0.43333333333333335","0.25833333333333336","0.19166666666666668"
"36","no-visualization","120","100","77","3.6416666666666666","2.3916666666666666","1.948051948051948","4","0.6416666666666667","0.375","0.45","0.26666666666666666","0.19166666666666668"
"37","no-visualization","120","100","77","3.6666666666666665","2.6333333333333333","2.1818181818181817","4.0519480519480515","0.6416666666666667","0.425","0.35833333333333334","0.21666666666666667","0.2833333333333333"
"38","no-visualization","120","100","69","3.575","2.75","2.2028985507246377","3.8550724637681157","0.575","0.3333333333333333","0.3416666666666667","0.24166666666666667","0.23333333333333334"
"39","no-visualization","120","100","83","3.4583333333333335","2.375","1.9759036144578312","3.6506024096385543","0.6916666666666667","0.35","0.475","0.3416666666666667","0.21666666666666667"
"40","no-visualization","120","100","80","3.3666666666666667","2.441666666666667","2.025","3.4375","0.6666666666666666","0.2916666666666667","0.4583333333333333","0.375","0.20833333333333334"
"41","no-visualization","140","100","91","3.55","2.407142857142857","1.9230769230769231","3.868131868131868","0.65","0.38571428571428573","0.4642857142857143","0.2642857142857143","0.18571428571428572"
"42","no-visualization","140","100","99","3.5785714285714287","2.4571428571428573","1.9292929292929293","3.8383838383838382","0.7071428571428572","0.40714285714285714","0.5","0.3","0.20714285714285716"
"43","no-visualization","140","100","93","3.4571428571428573","2.4785714285714286","2.021505376344086","3.5913978494623655","0.6642857142857143","0.3357142857142857","0.45","0.32857142857142857","0.21428571428571427"
"44","no-visualization","140","100","88","3.585714285714286","2.5142857142857142","1.9545454545454546","3.8295454545454546","0.6285714285714286","0.37142857142857144","0.45714285714285713","0.2571428571428571","0.17142857142857143"
"45","no-visualization","140","100","78","3.642857142857143","2.7214285714285715","2.1153846153846154","3.948717948717949","0.5571428571428572","0.37142857142857144","0.32857142857142857","0.18571428571428572","0.22857142857142856"
"46","no-visualization","140","100","87","3.392857142857143","2.4285714285714284","1.8735632183908046","3.7011494252873565","0.6214285714285714","0.35","0.4357142857142857","0.2714285714285714","0.18571428571428572"
"48","no-visualization","140","100","86","3.55","2.5357142857142856","1.9186046511627908","3.5930232558139537","0.6142857142857143","0.3142857142857143","0.42857142857142855","0.3","0.18571428571428572"
