[run number],visualization,initial-population,[step],count turtles,mean-of-vision,mean-of-metabolism,mean [metabolism] of turtles,mean [vision] of turtles,(count turtles) / (initial-population),(count good_vision_turtles) / (initial-population),(count good_metabolism_turtles) / (initial-population),(count bad_vision_turtles) / (initial-population),(count bad_metabolism_turtles) / (initial-population)
5,no-visualization,100,100,64,3.44,2.67,2.15625,3.953125,0.64,0.43,0.39,0.21,0.25
6,no-visualization,100,100,67,3.79,2.5,2.149253731,4.029850746,0.67,0.41,0.42,0.26,0.25
3,no-visualization,100,100,70,3.57,2.46,2.242857143,3.814285714,0.7,0.42,0.42,0.28,0.28
2,no-visualization,100,100,67,3.8,2.57,2.119402985,4.059701493,0.67,0.42,0.41,0.25,0.26
7,no-visualization,100,100,73,3.74,2.51,2.178082192,3.97260274,0.73,0.46,0.41,0.27,0.32
4,no-visualization,100,100,71,3.87,2.38,1.957746479,4.14084507,0.71,0.45,0.51,0.26,0.2
8,no-visualization,100,100,69,3.68,2.45,2.028985507,4.101449275,0.69,0.44,0.48,0.25,0.21
13,no-visualization,100,100,62,3.49,2.54,1.967741935,3.903225806,0.62,0.37,0.43,0.25,0.19
10,no-visualization,100,100,67,3.35,2.59,2.253731343,3.865671642,0.67,0.41,0.35,0.26,0.32
9,no-visualization,100,100,65,3.48,2.65,2.123076923,3.753846154,0.65,0.34,0.4,0.31,0.25
14,no-visualization,100,100,71,3.6,2.52,2.197183099,3.830985915,0.71,0.41,0.41,0.3,0.3
11,no-visualization,100,100,68,3.32,2.46,1.970588235,3.838235294,0.68,0.38,0.46,0.3,0.22
12,no-visualization,100,100,75,3.65,2.56,2.213333333,3.88,0.75,0.45,0.48,0.3,0.27
15,no-visualization,100,100,65,3.49,2.47,2.030769231,3.907692308,0.65,0.4,0.4,0.25,0.25
18,no-visualization,100,100,61,3.53,2.63,2.114754098,3.918032787,0.61,0.4,0.38,0.21,0.23
16,no-visualization,100,100,68,3.56,2.56,2.191176471,3.955882353,0.68,0.39,0.38,0.29,0.3
20,no-visualization,100,100,67,3.3,2.42,2.044776119,3.656716418,0.67,0.36,0.48,0.31,0.19
17,no-visualization,100,100,74,3.51,2.26,1.905405405,3.932432432,0.74,0.49,0.56,0.25,0.18
19,no-visualization,100,100,70,3.59,2.5,2.257142857,3.9,0.7,0.44,0.4,0.26,0.3
21,no-visualization,120,100,80,3.7,2.483333333,1.95,4.1125,0.666666667,0.466666667,0.475,0.2,0.191666667
22,no-visualization,120,100,81,3.591666667,2.45,1.925925926,3.802469136,0.675,0.416666667,0.516666667,0.258333333,0.158333333
24,no-visualization,120,100,75,3.425,2.591666667,1.986666667,3.68,0.625,0.35,0.416666667,0.275,0.208333333
26,no-visualization,120,100,76,3.383333333,2.566666667,2.039473684,3.75,0.633333333,0.375,0.408333333,0.258333333,0.225
23,no-visualization,120,100,80,3.925,2.466666667,2.05,4.225,0.666666667,0.441666667,0.433333333,0.225,0.233333333
25,no-visualization,120,100,77,3.708333333,2.425,1.922077922,4.142857143,0.641666667,0.4,0.458333333,0.241666667,0.183333333
28,no-visualization,120,100,81,3.541666667,2.583333333,2.111111111,3.654320988,0.675,0.391666667,0.425,0.283333333,0.25
27,no-visualization,120,100,77,3.8,2.466666667,1.909090909,4.12987013,0.641666667,0.425,0.475,0.216666667,0.166666667
1,no-visualization,100,100,69,3.67,2.4,1.898550725,4.043478261,0.69,0.47,0.52,0.22,0.17
29,no-visualization,120,100,82,3.6,2.508333333,1.987804878,3.829268293,0.683333333,0.375,0.45,0.308333333,0.233333333
30,no-visualization,120,100,73,3.633333333,2.525,1.98630137,4.219178082,0.608333333,0.425,0.441666667,0.183333333,0.166666667
33,no-visualization,120,100,70,3.45,2.708333333,2.3,3.857142857,0.583333333,0.333333333,0.291666667,0.25,0.291666667
32,no-visualization,120,100,79,3.425,2.516666667,2.075949367,3.82278481,0.658333333,0.375,0.425,0.283333333,0.233333333
31,no-visualization,120,100,85,3.516666667,2.341666667,1.905882353,3.694117647,0.708333333,0.408333333,0.491666667,0.3,0.216666667
34,no-visualization,120,100,80,3.708333333,2.708333333,2.3625,3.9,0.666666667,0.416666667,0.35,0.25,0.316666667
35,no-visualization,120,100,75,3.366666667,2.408333333,1.84,3.786666667,0.625,0.366666667,0.433333333,0.258333333,0.191666667
36,no-visualization,120,100,77,3.641666667,2.391666667,1.948051948,4,0.641666667,0.375,0.45,0.266666667,0.191666667
37,no-visualization,120,100,77,3.666666667,2.633333333,2.181818182,4.051948052,0.641666667,0.425,0.358333333,0.216666667,0.283333333
38,no-visualization,120,100,69,3.575,2.75,2.202898551,3.855072464,0.575,0.333333333,0.341666667,0.241666667,0.233333333
39,no-visualization,120,100,83,3.458333333,2.375,1.975903614,3.65060241,0.691666667,0.35,0.475,0.341666667,0.216666667
40,no-visualization,120,100,80,3.366666667,2.441666667,2.025,3.4375,0.666666667,0.291666667,0.458333333,0.375,0.208333333
41,no-visualization,140,100,91,3.55,2.407142857,1.923076923,3.868131868,0.65,0.385714286,0.464285714,0.264285714,0.185714286
42,no-visualization,140,100,99,3.578571429,2.457142857,1.929292929,3.838383838,0.707142857,0.407142857,0.5,0.3,0.207142857
43,no-visualization,140,100,93,3.457142857,2.478571429,2.021505376,3.591397849,0.664285714,0.335714286,0.45,0.328571429,0.214285714
44,no-visualization,140,100,88,3.585714286,2.514285714,1.954545455,3.829545455,0.628571429,0.371428571,0.457142857,0.257142857,0.171428571
45,no-visualization,140,100,78,3.642857143,2.721428571,2.115384615,3.948717949,0.557142857,0.371428571,0.328571429,0.185714286,0.228571429
46,no-visualization,140,100,87,3.392857143,2.428571429,1.873563218,3.701149425,0.621428571,0.35,0.435714286,0.271428571,0.185714286
48,no-visualization,140,100,86,3.55,2.535714286,1.918604651,3.593023256,0.614285714,0.314285714,0.428571429,0.3,0.185714286
47,no-visualization,140,100,94,3.614285714,2.45,2.095744681,3.914893617,0.671428571,0.435714286,0.421428571,0.235714286,0.25
49,no-visualization,140,100,87,3.478571429,2.521428571,1.977011494,3.827586207,0.621428571,0.371428571,0.407142857,0.25,0.214285714
50,no-visualization,140,100,92,3.521428571,2.478571429,2.010869565,3.891304348,0.657142857,0.371428571,0.442857143,0.285714286,0.214285714
51,no-visualization,140,100,95,3.7,2.507142857,2.021052632,3.863157895,0.678571429,0.392857143,0.457142857,0.285714286,0.221428571
54,no-visualization,140,100,92,3.578571429,2.407142857,1.945652174,4.032608696,0.657142857,0.392857143,0.45,0.264285714,0.207142857
53,no-visualization,140,100,90,3.492857143,2.478571429,1.966666667,3.733333333,0.642857143,0.342857143,0.45,0.3,0.192857143
56,no-visualization,140,100,87,3.292857143,2.592857143,2.068965517,3.494252874,0.621428571,0.321428571,0.421428571,0.3,0.2
55,no-visualization,140,100,94,3.564285714,2.478571429,1.914893617,3.79787234,0.671428571,0.385714286,0.471428571,0.285714286,0.2
52,no-visualization,140,100,95,3.714285714,2.435714286,1.852631579,3.8,0.678571429,0.428571429,0.485714286,0.25,0.192857143
57,no-visualization,140,100,96,3.642857143,2.435714286,1.875,3.833333333,0.685714286,0.435714286,0.521428571,0.25,0.164285714
58,no-visualization,140,100,80,3.621428571,2.528571429,1.8,3.825,0.571428571,0.335714286,0.421428571,0.235714286,0.15
59,no-visualization,140,100,87,3.521428571,2.557142857,1.954022989,3.816091954,0.621428571,0.371428571,0.45,0.25,0.171428571
60,no-visualization,140,100,102,3.607142857,2.364285714,2,3.647058824,0.728571429,0.357142857,0.492857143,0.371428571,0.235714286
62,no-visualization,160,100,94,3.38125,2.56875,1.85106383,3.595744681,0.5875,0.33125,0.43125,0.25625,0.15625
61,no-visualization,160,100,95,3.4375,2.5875,2.010526316,3.684210526,0.59375,0.3125,0.39375,0.28125,0.2
63,no-visualization,160,100,100,3.46875,2.58125,1.99,3.61,0.625,0.325,0.4375,0.3,0.1875
65,no-visualization,160,100,110,3.73125,2.3875,1.954545455,4.018181818,0.6875,0.41875,0.45,0.26875,0.2375
66,no-visualization,160,100,100,3.575,2.5,1.95,3.97,0.625,0.39375,0.45625,0.23125,0.16875
64,no-visualization,160,100,98,3.39375,2.4625,1.87755102,3.785714286,0.6125,0.34375,0.4375,0.26875,0.175
67,no-visualization,160,100,105,3.6625,2.375,1.79047619,3.771428571,0.65625,0.36875,0.53125,0.2875,0.125
68,no-visualization,160,100,117,3.525,2.14375,1.811965812,3.675213675,0.73125,0.39375,0.56875,0.3375,0.1625
69,no-visualization,160,100,96,3.5125,2.59375,1.989583333,3.708333333,0.6,0.33125,0.425,0.26875,0.175
